Survived,PassengerId,Pclass,Age,SibSp,Parch,Fare,Gender,Port
0,1,3,22.0,1,0,7.25,1,2
1,2,1,38.0,1,0,71.2833,0,1
1,3,3,26.0,0,0,7.925,0,2
1,4,1,35.0,1,0,53.1,0,2
0,5,3,35.0,0,0,8.05,1,2
0,6,3,25.0,0,0,8.4583,1,3
0,7,1,54.0,0,0,51.8625,1,2
0,8,3,2.0,3,1,21.075,1,2
1,9,3,27.0,0,2,11.1333,0,2
1,10,2,14.0,1,0,30.0708,0,1
1,11,3,4.0,1,1,16.7,0,2
1,12,1,58.0,0,0,26.55,0,2
0,13,3,20.0,0,0,8.05,1,2
0,14,3,39.0,1,5,31.275,1,2
0,15,3,14.0,0,0,7.8542,0,2
1,16,2,55.0,0,0,16.0,0,2
0,17,3,2.0,4,1,29.125,1,3
1,18,2,30.0,0,0,13.0,1,2
0,19,3,31.0,1,0,18.0,0,2
1,20,3,21.5,0,0,7.225,0,1
0,21,2,35.0,0,0,26.0,1,2
1,22,2,34.0,0,0,13.0,1,2
1,23,3,15.0,0,0,8.0292,0,3
1,24,1,28.0,0,0,35.5,1,2
0,25,3,8.0,3,1,21.075,0,2
1,26,3,38.0,1,5,31.3875,0,2
0,27,3,25.0,0,0,7.225,1,1
0,28,1,19.0,3,2,263.0,1,2
1,29,3,21.5,0,0,7.8792,0,3
0,30,3,25.0,0,0,7.8958,1,2
0,31,1,40.0,0,0,27.7208,1,1
1,32,1,35.0,1,0,146.5208,0,1
1,33,3,21.5,0,0,7.75,0,3
0,34,2,66.0,0,0,10.5,1,2
0,35,1,28.0,1,0,82.1708,1,1
0,36,1,42.0,1,0,52.0,1,2
1,37,3,25.0,0,0,7.2292,1,1
0,38,3,21.0,0,0,8.05,1,2
0,39,3,18.0,2,0,18.0,0,2
1,40,3,14.0,1,0,11.2417,0,1
0,41,3,40.0,1,0,9.475,0,2
0,42,2,27.0,1,0,21.0,0,2
0,43,3,25.0,0,0,7.8958,1,1
1,44,2,3.0,1,2,41.5792,0,1
1,45,3,19.0,0,0,7.8792,0,3
0,46,3,25.0,0,0,8.05,1,2
0,47,3,25.0,1,0,15.5,1,3
1,48,3,21.5,0,0,7.75,0,3
0,49,3,25.0,2,0,21.6792,1,1
0,50,3,18.0,1,0,17.8,0,2
0,51,3,7.0,4,1,39.6875,1,2
0,52,3,21.0,0,0,7.8,1,2
1,53,1,49.0,1,0,76.7292,0,1
1,54,2,29.0,1,0,26.0,0,2
0,55,1,65.0,0,1,61.9792,1,1
1,56,1,40.0,0,0,35.5,1,2
1,57,2,21.0,0,0,10.5,0,2
0,58,3,28.5,0,0,7.2292,1,1
1,59,2,5.0,1,2,27.75,0,2
0,60,3,11.0,5,2,46.9,1,2
0,61,3,22.0,0,0,7.2292,1,1
1,62,1,38.0,0,0,80.0,0,2
0,63,1,45.0,1,0,83.475,1,2
0,64,3,4.0,3,2,27.9,1,2
0,65,1,40.0,0,0,27.7208,1,1
1,66,3,25.0,1,1,15.2458,1,1
1,67,2,29.0,0,0,10.5,0,2
0,68,3,19.0,0,0,8.1583,1,2
1,69,3,17.0,4,2,7.925,0,2
0,70,3,26.0,2,0,8.6625,1,2
0,71,2,32.0,0,0,10.5,1,2
0,72,3,16.0,5,2,46.9,0,2
0,73,2,21.0,0,0,73.5,1,2
0,74,3,26.0,1,0,14.4542,1,1
1,75,3,32.0,0,0,56.4958,1,2
0,76,3,25.0,0,0,7.65,1,2
0,77,3,25.0,0,0,7.8958,1,2
0,78,3,25.0,0,0,8.05,1,2
1,79,2,0.83,0,2,29.0,1,2
1,80,3,30.0,0,0,12.475,0,2
0,81,3,22.0,0,0,9.0,1,2
1,82,3,29.0,0,0,9.5,1,2
1,83,3,21.5,0,0,7.7875,0,3
0,84,1,28.0,0,0,47.1,1,2
1,85,2,17.0,0,0,10.5,0,2
1,86,3,33.0,3,0,15.85,0,2
0,87,3,16.0,1,3,34.375,1,2
0,88,3,25.0,0,0,8.05,1,2
1,89,1,23.0,3,2,263.0,0,2
0,90,3,24.0,0,0,8.05,1,2
0,91,3,29.0,0,0,8.05,1,2
